                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1256,                0.78467,                  1.117,                0.85323,                0.77514,                0.84317,                0.54745,                 1.1582,                 0.8398,                 1.2049,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1766,                0.79075,                 1.1295,                0.88645,                0.81818,                0.87781,                0.56707,                 1.2111,                0.79496,                 1.2177,               0.001307,               0.001307,               0.001307
                     37,                 1.1064,                0.76139,                 1.1117,                0.87136,                0.82105,                0.87207,                0.56139,                 1.2049,                0.81002,                 1.2187,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1079,                0.69416,                 1.1044,                0.90591,                0.76364,                0.85976,                0.57289,                 1.1684,                0.83616,                 1.2247,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1358,                0.72812,                 1.1353,                0.87358,                0.81818,                0.86738,                0.55923,                 1.2198,                0.84662,                 1.1729,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1193,                0.73871,                 1.1245,                0.87949,                0.84039,                0.87692,                0.53886,                 1.2565,                0.78367,                 1.2015,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1012,                 0.7478,                 1.1341,                0.85433,                0.85304,                0.88518,                0.54454,                  1.285,                0.77857,                  1.241,               0.001208,               0.001208,               0.001208
                     42,                 1.0761,                0.71102,                 1.1122,                0.87174,                0.80606,                0.86728,                0.56902,                 1.1525,                0.84824,                 1.1541,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.078,                0.71632,                  1.124,                 0.9389,                0.79394,                0.86378,                0.57963,                 1.1652,                0.77691,                 1.1792,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0885,                0.70899,                  1.117,                0.90166,                0.82424,                0.86815,                 0.5895,                 1.1382,                0.81673,                 1.1778,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0405,                 0.6784,                 1.0827,                0.88449,                0.83538,                 0.8724,                   0.58,                 1.1227,                0.82608,                 1.1963,              0.0011288,              0.0011288,              0.0011288
                     46,                  1.028,                0.66959,                 1.0989,                0.89551,                    0.8,                0.84269,                0.56756,                 1.1257,                0.82071,                 1.1528,               0.001109,               0.001109,               0.001109
                     47,                 1.0327,                0.64069,                 1.0971,                0.88025,                0.85455,                0.86656,                0.59901,                 1.0689,                0.76599,                 1.1377,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0156,                0.66076,                 1.0636,                0.91917,                0.81818,                0.87732,                 0.6116,                 1.0884,                0.76101,                 1.1589,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0518,                0.67522,                 1.0759,                0.92592,                0.83322,                0.88116,                0.57882,                 1.1491,                0.75653,                 1.1729,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0151,                0.64588,                 1.0701,                0.90286,                0.85455,                0.89271,                0.61211,                 1.1066,                0.73009,                 1.1613,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0112,                0.64085,                 1.0647,                0.85208,                 0.8379,                0.86883,                0.58674,                   1.08,                0.76066,                 1.1413,                0.00101,                0.00101,                0.00101
                     52,                 1.0439,                  0.669,                 1.1011,                0.89408,                0.81857,                0.85337,                0.57231,                 1.1043,                0.79723,                 1.1273,              0.0009902,              0.0009902,              0.0009902
                     53,                0.98242,                0.62252,                 1.0412,                0.89161,                0.85455,                0.88136,                 0.6132,                 1.0696,                0.74747,                 1.1454,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0085,                0.65244,                  1.061,                0.92843,                0.84242,                0.88669,                0.58964,                    1.1,                0.77651,                 1.1411,              0.0009506,              0.0009506,              0.0009506
